币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
ICN-Iconomi,"¥9,748.49万",¥0.9854,¥42593.52,"9,893.03万",-0.85%
DROP-Dropil,"¥9,383.3万",¥0.004254,¥39.66万,220.56亿,-5.61%
FSN-Fusion,"¥9,321.96万",¥3.1404,¥226.52万,"2,968.43万",+0.56%
RLC-云算宝,"¥9,237.44万",¥1.1537,¥145.86万,"8,007.08万",+5.50%
CND-Cindicator,"¥9,180.92万",¥0.063493,¥98.23万,14.46亿,+4.95%
RNT-Oneroot,"¥9,096.78万",¥0.3762,¥489.68万,2.42亿*,+1.40%
TKY-THEKEY,"¥9,061.19万",¥0.017907,¥65.2万,50.6亿,+8.62%
STORM-Storm,"¥8,960.14万",¥0.019618,¥815.99万,45.67亿,-3.50%
BFT-BnkToTheFuture,"¥8,738.98万",¥0.1387,¥75.86万,6.3亿,-1.50%
REN-Republic Protocol,"¥8,669.06万",¥0.1383,¥666.94万,6.27亿,+3.65%
GNO-Gnosis,"¥8,618.42万",¥78.0237,¥87.01万,110.46万,+3.32%
C20-CRYPTO20,"¥8,613.45万",¥2.1411,¥15211.13,"4,022.86万",+11.64%
NEU-Neumark,"¥8,607.96万",¥1.8662,¥5274.70,"4,612.52万",+4.93%
GTO-Gifto,"¥8,092.37万",¥0.1522,¥667.66万,5.32亿,+3.84%
DMT-DMarket,"¥8,018.71万",¥1.5968,¥457.87万,"5,021.61万",+2.56%
POE-Po.et,"¥7,756.75万",¥0.032082,¥130.92万,24.18亿,+4.76%
OCN-Ocoin,"¥7,700.12万",¥0.016211,"¥1,286.61万",47.5亿,+0.37%
BRD-Bread,"¥7,489.4万",¥1.2638,¥65.29万,"5,926.27万",+4.30%
TRUE-初链,"¥7,372.76万",¥1.6384,¥1.45亿,"4,500万",+4.76%
ANT-阿拉贡,"¥7,232.86万",¥2.4853,¥56.64万,"2,910.27万",+2.87%
TOMO-TomoChain,"¥7,183.44万",¥1.3150,¥595.32万,"5,462.67万",+6.44%
UTK-UTRUST,"¥6,875.11万",¥0.1528,¥65.48万,4.5亿,+3.65%
AGRS-IDNI Agoras,"¥6,573.98万",¥1.5657,¥39.93万,"4,198.8万",-17.99%
SAFEX-Safe Exchange Coin,"¥6,378.44万",¥0.041334,¥23741.15,15.43亿,+1.20%
SMT-SmartMesh,"¥6,150.81万",¥0.043508,¥45.59万,14.14亿,+2.88%
UTT-UTT,"¥6,104.77万",¥1.6342,¥1734.16,"3,735.55万",+0.02%
MED-Medibloc,"¥6,020.69万",¥0.020296,¥43648.50,29.66亿,+8.07%
QRL-QRL,"¥5,952.22万",¥1.1447,¥13139.53,"5,200万",+4.76%
AMB-Ambrosus,"¥5,934.13万",¥0.4104,¥141.63万,1.45亿,+4.69%
RDN-雷电网络,"¥5,866.58万",¥1.1682,¥376.5万,"5,021.89万",+1.85%
EDG-网络黄金,"¥5,770.59万",¥0.5899,¥45.75万,"9,781.87万",+15.72%
CRPT-Crypterium,"¥5,735.73万",¥0.7179,¥215.73万,"7,989.65万",+17.92%
QSP-Quantstamp,"¥5,715.44万",¥0.092586,¥70.31万,6.17亿,+5.52%
BAX-BABB,"¥5,705.11万",¥0.002717,¥15.94万,210亿,+8.21%
LEND-EthLend,"¥5,523.37万",¥0.050204,¥428.5万,11亿,+3.74%
HPB-芯链,"¥5,327.49万",¥1.5902,¥920.88万,"3,350.26万*",+0.22%
RUFF-RUFF Token,"¥5,319.52万",¥0.061018,¥618.69万,8.72亿,+6.15%
BITCNY-比特元,"¥5,312.31万",¥1.0142,¥1.63亿,"5,237.97万",+0.67%
BLZ-Bluzelle,"¥5,274.68万",¥0.2883,¥396.72万,1.83亿,+1.23%
VEE-BLOCKv,"¥5,242.35万",¥0.022465,¥36596.40,23.34亿,+1.48%
