币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
ARN,"¥2,195.5万",¥1.6888,¥432.3万,"1,300万",+5.55%
OCN,"¥7,665万",¥0.016137,"¥1,345.52万",47.5亿,+0.09%
GIN,"¥4,313.08万",¥9.7583,¥25.83万,441.99万,+2.65%
ESS,--,¥0.008439,¥104.57万,--,+3.55%
AAC-锐角币,¥406.61万,¥0.016264,¥279.08万,2.5亿,-1.81%
DDD,"¥7,031.26万",¥0.1598,¥663.72万,4.4亿,-2.46%
MITH-秘银币,¥1.92亿,¥0.4954,¥1.66亿,3.88亿,+16.16%
PTT-质子链,¥475.29万,¥0.000864,¥23.85万,55亿,-8.08%
MAN,"¥7,698.42万",¥0.5132,¥782.64万,1.5亿,+15.56%
LOOM,¥1.71亿,¥0.2817,¥795.67万,6.06亿,-0.88%
GOT,--,¥0.1490,¥220.49万,--,-4.38%
GNT,¥3.93亿,¥0.4090,"¥1,044.2万",9.6亿,+4.38%
EDR-艾特币,"¥5,632.91万",¥0.063562,¥621.21万,8.86亿,+3.06%
CLO,"¥1,842.5万",¥0.024005,¥48.57万,7.68亿,-11.09%
TOPC-拓扑链,"¥1,086.49万",¥0.036216,¥291.48万,3亿,+4.50%
SKM-时光簿,"¥1,283.03万",¥0.018162,¥499.44万,7.06亿,-1.05%
SHOW-秀币,--,¥0.002698,¥22.31万,--,+2.44%
MXC,"¥4,015.81万",¥0.050230,¥852.75万,7.99亿,-2.04%
IQ,--,¥0.017307,¥63.05万,--,+2.92%
UBTC-比特联储,¥1.4亿,¥8.1916,¥258.21万,"1,711.6万",+0.45%
RCN,"¥3,956.86万",¥0.080492,¥29.43万,4.92亿,+5.46%
NKN,"¥3,171.48万",¥0.090614,¥57.42万,3.5亿,-17.88%
INS,"¥5,069.43万",¥1.5598,¥565.14万,"3,250万",+3.64%
