币种,全球指数,历史高位,高位时间,历史低位,低位时间,ATH跌幅
MGO-MobileGo,$0.3650,$9.8508,2018-01-07,$0.2903,2018-12-17,-96.29%
DCN-Dentacoin,$0.000111,$0.008266,2018-01-07,$0.00006405,2018-12-07,-98.66%
QKC-QuarkChain,$0.044667,$0.2033,2018-06-11,$0.035417,2018-11-20,-78.03%
ARK-Ark,$0.3323,$10.9150,2018-01-09,$0.2893,2018-12-11,-96.96%
IOST-Internet of Services,$0.004197,$0.048334,2018-06-03,$0.003652,2018-12-15,-91.32%
ODE-ODEM,$0.1533,$0.5477,2018-08-07,$0.1481,2018-12-17,-72.01%
HC-HyperCash,$0.7584,$3.3482,2018-09-04,$0.5623,2018-12-08,-77.35%
RVN-Ravencoin,$0.013034,$0.074868,2018-08-03,$0.011608,2018-12-15,-82.59%
ETP-元界,$0.5927,$6.2400,2017-06-06,$0.5348,2018-12-15,-90.50%
ELF-ælf,$0.1050,$4.9655,2017-12-21,$0.096165,2018-12-16,-97.89%
RDD-蜗牛币,$0.001089,$0.032390,2018-01-07,$0.000927,2018-12-15,-96.64%
AION-Aion,$0.1182,$11.5080,2018-01-07,$0.1066,2018-12-15,-98.97%
BNT-Bancor,$0.4868,$23.7300,2017-06-19,$0.2420,2018-12-07,-97.95%
MCO-Crypto.com,$1.8571,$27.1000,2017-08-29,$1.6415,2018-12-16,-93.15%
PIVX-普维币,$0.5086,$14.5587,2018-01-23,$0.4696,2018-12-15,-96.51%
GXC-公信宝,$0.4779,$11.3788,2018-01-07,$0.4530,2018-12-15,-95.80%
LRC-路印协议,$0.035449,$2.5902,2018-01-09,$0.032082,2018-12-08,-98.63%
DGD-黄金代币,$13.3338,$597.65,2018-02-28,$12.4185,2018-12-15,-97.77%
XZC-小零币,$4.5990,$169.99,2017-12-26,$4.2818,2018-12-15,-97.29%
NXT-未来币,$0.026165,$2.1591,2017-12-23,$0.018499,2018-11-21,-98.79%
POWR-Power Ledger,$0.066427,$2.0111,2018-01-04,$0.059054,2018-12-16,-96.70%
SYS-系统币,$0.047429,$0.9814,2018-01-14,$0.028884,2018-12-14,-95.17%
