币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
QKC-QuarkChain,¥2.44亿,¥0.3044,"¥2,566.36万",8.02亿,+1.71%
IOST-Internet of Services,¥2.41亿,¥0.028680,"¥3,196.64万",84亿*,+7.00%
ODE-ODEM,¥2.3亿,¥1.0541,¥372.02万,2.18亿,-0.31%
HC-HyperCash,¥2.28亿,¥5.2523,¥1.27亿,"4,342.84万",+5.97%
RDD-蜗牛币,¥2.23亿,¥0.007731,¥61.08万,288.09亿*,+7.74%
RVN-Ravencoin,¥2.22亿,¥0.089459,¥707.7万,24.77亿,+6.01%
ELF-ælf,¥2.19亿,¥0.7302,"¥2,500.79万",3亿,+5.56%
ETP-元界,¥2.18亿,¥4.0231,¥126.41万,"5,424.33万",+5.83%
AION-Aion,¥2.15亿,¥0.8097,¥697.21万,2.65亿,+2.15%
BNT-Bancor,¥2.13亿,¥3.3636,¥693.08万,"6,326.44万",+6.00%
MCO-Crypto.com,¥1.99亿,¥12.6175,¥235.64万,"1,579.38万",+4.18%
PIVX-普维币,¥1.99亿,¥3.5047,¥914.58万,"5,678.12万*",+1.49%
GXC-公信宝,¥1.97亿,¥3.2833,"¥1,092.63万","6,000万*",+1.47%
LRC-路印协议,¥1.92亿,¥0.2429,¥333.3万,7.89亿,+4.22%
DGD-黄金代币,¥1.84亿,¥91.8569,¥133.96万,200万,-0.39%
POWR-Power Ledger,¥1.81亿,¥0.4615,¥609.97万,3.92亿,+3.82%
NXT-未来币,¥1.79亿,¥0.1794,"¥5,057.61万",9.99亿*,-8.23%
SYS-系统币,¥1.79亿,¥0.3282,"¥1,241.98万",5.45亿,+12.91%
XZC-小零币,¥1.79亿,¥31.0381,¥574.09万,575.78万,-1.77%
DAC-达芬奇,¥1.78亿,¥0.067313,"¥1,760.09万",26.4亿*,+7.71%
CENNZ-Centrality,¥1.71亿,¥0.2134,¥16.74万,8.02亿,+3.50%
LOOM-Loom Network,¥1.7亿,¥0.2808,¥746.96万,6.06亿,+1.73%
ENJ-恩金币,¥1.7亿,¥0.2233,"¥2,381.93万",7.61亿,-1.58%
VERI-Veritaseum,¥1.67亿,¥81.8430,¥342.18万,203.66万,+13.42%
ZEN-Horizen,¥1.67亿,¥30.9239,¥190.02万,538.75万,+4.82%
MONA-萌奈币,¥1.66亿,¥2.5746,¥185.76万,"6,441.6万",+4.98%
CREDO-Credo,¥1.61亿,¥0.2926,¥30556.02,5.5亿,-12.97%
NAS-星云币,¥1.6亿,¥3.5573,"¥1,107.5万","4,500万*",+1.26%
BOS-BOScoin,¥1.58亿,¥0.3457,¥19.12万,4.57亿*,+15.21%
KIN-Kin,¥1.5亿,¥0.000199,¥69.5万,"7,560.98亿",+4.10%
KIN-Kin,¥1.5亿,¥0.000199,¥69.41万,"7,560.98亿",+3.89%
WICC-维基链,¥1.47亿,¥0.7765,"¥3,020.43万",1.89亿*,+0.26%
BIX-BIX Token,¥1.44亿,¥1.1253,¥678.26万,1.28亿*,-1.01%
EDO-Eidoo,¥1.41亿,¥4.8142,¥201.42万,"2,926.15万",+0.59%
SLT-Smartlands,¥1.39亿,¥27.2206,¥618.84万,510.09万,+12.11%
AGI-SingularityNET,¥1.36亿,¥0.2524,¥168.9万,5.4亿,+4.28%
FUN-FunFair,¥1.3亿,¥0.025863,¥196.93万,50.11亿,+3.09%
GAS-Gas,¥1.23亿,¥12.1469,¥97.99万,"1,012.84万",+3.74%
SRN-Sirin Labs,¥1.23亿,¥0.2497,¥209.88万,4.92亿,+2.70%
GBYTE-字节雪球,¥1.22亿,¥179.26,¥66.09万,67.9万*,-3.46%
STORJ-Storj,¥1.21亿,¥0.8935,"¥1,064.24万",1.36亿,+8.08%
DRGN-龙链,¥1.19亿,¥0.5003,¥16.7万,2.38亿,+8.02%
CVC-Civic,¥1.17亿,¥0.3424,"¥2,382.16万",3.43亿,+2.58%
KNC-Kyber Network,¥1.17亿,¥0.8741,"¥6,686.88万",1.34亿,+1.81%
NULS-NULS,¥1.17亿,¥2.9241,¥889.48万,"4,000万",+5.31%
SXDT-SXDT,¥1.14亿,¥1.3897,¥44.4674,"8,207.35万",-14.52%
SALT-SALT,¥1.13亿,¥1.4049,¥215.69万,"8,073.45万",+2.40%
ENG-Enigma,¥1.11亿,¥1.4880,¥171.46万,"7,483.62万",+0.69%
CMT-草莓糖,¥1.11亿,¥0.1582,¥986.23万,7亿,+0.94%
DENT-Dentcoin,¥1.1亿,¥0.006393,¥150.33万,172.41亿,+5.02%
MDA-Moeda Loyalty,¥1.1亿,¥5.5817,"¥2,645.31万","1,962.89万",+1.05%
DTR-DTR,¥1.07亿,¥0.087522,¥2781.99,12.17亿,-0.30%
GVT-Genesis Vision,¥1.06亿,¥23.9504,"¥1,858.35万",442.69万,+5.62%
NXS-Nexus,¥1.06亿,¥1.7676,¥52.08万,"5,970.79万",+7.83%
SUB-Substratum,¥1.05亿,¥0.2754,¥163.72万,3.83亿,+0.47%
CS-Credits,¥1.05亿,¥0.6919,¥645.14万,1.52亿,-0.37%
GRS-Groestlcoin,¥1.05亿,¥1.4638,¥70.18万,"7,152.31万",+4.79%
PLR-Pillar,¥1.04亿,¥0.4024,¥33375.32,2.59亿,+3.49%
UNO-超导币,¥1.03亿,¥517.43,¥51232.96,19.97万,+2.54%
REQ-Request Network,¥1.02亿,¥0.1395,¥97.17万,7.3亿,+3.21%
CTXC-Cortex,¥1.01亿,¥0.6746,¥906.6万,1.5亿,+3.56%
ICN-Iconomi,"¥9,927.95万",¥1.0035,¥39724.27,"9,893.03万",-0.10%
SAN-Santiment Network Token,"¥9,787.84万",¥1.5620,¥195.36万,"6,266.04万",+2.12%
