币种,流通市值,全球指数,24H成交额,流通数量,24H涨幅
PPY-Peerplays,"¥2,459.55万",¥5.4737,¥171.69万,449.34万*,-0.08%
CHSB-SwissBorg,"¥2,458.07万",¥0.042688,¥26.51万,5.76亿,+7.81%
BLK-黑币,"¥2,445.39万",¥0.3914,¥125.4万,"6,247.51万*",+6.14%
BWK-Bulwark,"¥2,439.96万",¥1.6527,¥18246.59,"1,476.34万",+2.58%
NANJ-NANJCOIN,"¥2,384.16万",¥0.001231,¥19540.94,193.62亿,+1.84%
PHR-Phore,"¥2,378.03万",¥1.5288,¥20.05万,"1,555.46万*",+14.61%
BIS-Bismuth,"¥2,367.88万",¥1.6479,¥29645.17,"1,436.94万",+4.64%
CPC-物信链,"¥2,355.05万",¥0.081556,¥36.39万,2.89亿,+13.49%
EVR-Everus,"¥2,345.7万",¥0.046273,¥27500.24,5.07亿,+2.59%
BCA-Bitcoin Atom,"¥2,333.22万",¥1.2693,¥41.19万,"1,838.2万",-7.60%
SWTH-Switcheo,"¥2,313.52万",¥0.024590,¥14529.03,9.41亿,+2.22%
UIP-未来版权,"¥2,308.27万",¥0.017226,¥108.31万,13.4亿,+1.97%
INK-墨链,"¥2,292.2万",¥0.045844,¥258.24万,5亿,-13.35%
HAV-Havven,"¥2,282.78万",¥0.3404,¥6144.30,"6,706.08万",-8.32%
LUN-Lunyr,"¥2,207.52万",¥9.6069,¥41.08万,229.79万,+4.40%
RVR-RevolutionVR,"¥2,193.45万",¥0.1045,¥46147.28,2.1亿*,+5.17%
ARN-Aeron,"¥2,183.61万",¥1.6797,¥428.53万,"1,300万",+5.87%
EAC-地球币,"¥2,116.22万",¥0.001783,¥490.13万,118.71亿,+5.92%
ADT-AdToken,"¥2,108.24万",¥0.035137,¥93.7万,6亿,+2.47%
PEPECASH-Pepe Cash,"¥2,098.03万",¥0.029891,--,7.02亿,-4.30%
HPY-Hyperpay,"¥2,030.65万",¥0.009579,¥30.1万,21.2亿*,+1.08%
ZPT-Zeepin,"¥2,017.79万",¥0.040356,¥37.33万,5亿,-3.90%
DMD-钻石币,"¥1,988.9万",¥6.5167,¥72859.51,305.2万,+6.72%
DBC-深脑链,"¥1,926.78万",¥0.012845,¥487.5万,15亿,-0.20%
XDCE-XinFin Network,"¥1,926.9万",¥0.004967,¥27.47万,38.8亿,+9.54%
KICK-KickCoin,"¥1,923.6万",¥0.035456,¥29.83万,5.43亿,+4.73%
CAG-Change,"¥1,919.3万",¥0.5172,¥13.62万,"3,711万",+4.78%
DLT-Agrello,"¥1,906.9万",¥0.2218,¥81.36万,"8,597.89万",+8.11%
ECOB-Ecobit,"¥1,886.48万",¥0.042446,¥115.98,4.44亿,-0.41%
SEN-Consensus,"¥1,849.07万",¥0.011516,¥17.06万,16.06亿,+2.21%
POT-PotCoin,"¥1,843.27万",¥0.083293,¥31527.72,2.21亿,+4.23%
BEZ-Bezop,"¥1,816.38万",¥0.3599,¥565.7万,"5,046.89万",-3.70%
AURA-Aurora DAO,"¥1,807.58万",¥0.1184,¥20056.96,1.53亿,+5.83%
1ST-第一滴血,"¥1,798.45万",¥0.2102,¥57.74万,"8,555.84万",-2.43%
DICE-Etheroll,"¥1,797.29万",¥2.5670,¥74652.16,700.16万,+6.03%
CRW-Crown,"¥1,789.12万",¥0.8499,¥55172.68,"2,105.13万",+1.65%
POLIS-Polis,"¥1,779.65万",¥3.7061,¥18279.67,480.19万,+4.81%
IXT-iXledger,"¥1,773.69万",¥0.4957,¥10.57万,"3,577.88万",+4.98%
COLX-ColossusCoinXT,"¥1,771.6万",¥0.001652,¥9356.84,107.25亿,+4.04%
XMY-多彩币,"¥1,757.53万",¥0.010797,¥7538.72,16.28亿,+1.80%
DADI-DADI,"¥1,757.74万",¥0.2350,¥89.69万,"7,479.56万",+8.36%
GRC-格雷德币,"¥1,737.36万",¥0.042127,¥19064.57,4.12亿,+4.69%
GRFT-Graft,"¥1,735.08万",¥0.039151,¥50500.93,4.43亿,+5.99%
SENT-Sentinel,"¥1,734.35万",¥0.008672,¥24.94万,20亿,+2.12%
DOV-Dovu,"¥1,732.22万",¥0.043332,¥70449.58,4亿,+129.95%
DIME-帝米币,"¥1,712.54万",¥0.00003177,¥2982.77,"5,390.97亿",-2.15%
SOAR-飙升币,"¥1,700.97万",¥0.015745,¥22112.53,10.8亿,-10.08%
LND-Lendingblock,"¥1,680.49万",¥0.027808,¥81.96万,6.04亿,+14.17%
BMC-Blackmoon Crypto,"¥1,658.06万",¥0.7814,¥211.43万,"2,121.99万*",+5.75%
ZCO-Zebi,"¥1,626.76万",¥0.032535,¥111.19万,5亿,+7.46%
BITB-BitBean,"¥1,621.33万",¥0.007025,¥71361.20,23.08亿*,+4.70%
XSPEC-幽灵币,"¥1,608.27万",¥0.7738,¥12994.67,"2,078.53万*",+7.39%
PCL-Peculium,"¥1,587.11万",¥0.008077,¥56.79万,19.65亿,+7.02%
BCPT-Blockmason,"¥1,585.5万",¥0.2162,¥51.45万,"7,334.85万",+3.71%
THC-泰合币,"¥1,555.38万",¥0.063700,¥51705.52,2.44亿,+2.80%
RBY-红宝石币,"¥1,529.74万",¥0.5796,¥955.64,"2,639.16万*",+1.68%
ELEC-Electrify.Asia,"¥1,509.68万",¥0.031760,¥23.96万,4.75亿,+3.08%
OAX-OAX,"¥1,506.25万",¥0.6023,¥431.08万,"2,500.93万",+15.32%
DIM-DIMCOIN,"¥1,497.3万",¥0.007122,¥102.83万,21.02亿,-0.92%
XP-Experience Points,"¥1,492.44万",¥0.00005786,¥11322.93,"2,579.45亿",+13.42%
PRO-Propy,"¥1,490.91万",¥0.7648,¥116.16万,"1,949.51万",-0.87%
TAAS-TaaS,"¥1,483.29万",¥1.8209,¥1702.26,814.6万,-1.63%
MUE-MonetaryUnit,"¥1,481.61万",¥0.1016,¥75135.86,1.46亿,+1.65%
BPT-Blockport,"¥1,476.61万",¥0.2793,¥61.39万,"5,287.09万",-4.03%
YOC-优币,"¥1,442.23万",¥0.044121,¥12.01万,3.27亿,+4.46%
ONION-深洋葱,"¥1,434.47万",¥0.8900,¥38159.94,"1,611.71万",+10.27%
MGC-众合币,"¥1,425.03万",¥0.1500,¥19.98万,"9,500万*",+15.43%
RADS-Radium,"¥1,409.97万",¥3.9581,¥28915.22,356.23万*,+0.55%
PND-熊猫币,"¥1,409.15万",¥0.000433,¥472.66,325.15亿,+2.76%
UP-UpToken,"¥1,403.62万",¥0.095785,¥21564.68,1.47亿,+9.23%
RISE-R币,"¥1,395.09万",¥0.1057,¥5021.73,1.32亿*,+0.62%
BLT-宝兰,"¥1,390.47万",¥0.2905,¥53.58万,"4,786.17万",+5.85%
IOC-I/O Coin,"¥1,376.85万",¥0.8035,¥3342.86,"1,713.54万*",+3.20%
NIM-网络币,"¥1,362.67万",¥0.004970,¥24.06万,27.42亿*,+5.90%
ANC-阿侬币,"¥1,359.02万",¥6.4399,¥17368.05,211.03万,-16.44%
CXO-CargoX,"¥1,353.16万",¥0.1048,¥18.78万,1.29亿,+0.81%
INCNT-Incent,"¥1,340.66万",¥0.2913,¥8946.50,"4,601.66万",+0.19%
SNET-Snetwork,"¥1,338.16万",¥0.1038,¥15.56万,1.29亿*,+11.37%
HST-Decision Token,"¥1,296.36万",¥0.4048,¥19.17万,"3,202.6万",-4.27%
XST-Stealthcoin,"¥1,280.64万",¥0.4454,¥2053.98,"2,875.2万",+6.58%
DPY-天算,"¥1,272.92万",¥0.2448,¥78.12万,"5,200万",-2.29%
REM-REMME,"¥1,270.81万",¥0.020687,¥39.81万,6.14亿,+0.07%
LUX-LUXCoin,"¥1,241.96万",¥3.9179,¥24.24万,316.99万,+4.90%
MLM-MktCoin,"¥1,234.61万",¥0.011067,¥5997.58,11.16亿,-2.02%
AC-亚洲币,"¥1,225.12万",¥0.005902,¥165.43,20.76亿,+12.48%
AMP-Synereo,"¥1,216.98万",¥0.1208,¥64408.13,1.01亿,+5.29%
DBET-DecentBet,"¥1,206.07万",¥0.071915,¥3199.94,1.68亿,-17.38%
MINT-薄荷币,"¥1,194.79万",¥0.000479,¥81.6043,249.47亿*,+1.53%
NCT-PolySwarm,"¥1,188.02万",¥0.007682,¥37.01万,15.46亿,+2.28%
AXPR-aXpire,"¥1,188.13万",¥0.043283,¥160.24万,2.74亿,+7.13%
NLC2-NoLimitCoin,"¥1,179.33万",¥0.056004,¥38.26万,2.11亿*,+8.62%
CVN-CVCoin,"¥1,140.49万",¥0.9212,¥16.24万,"1,238.09万",-33.45%
AUR-极光币,"¥1,136.31万",¥0.6634,¥7794.86,"1,712.98万",+16.10%
VRC-维理币,"¥1,127.63万",¥0.3591,¥14.54万,"3,139.89万",-12.51%
HBT-Hubii Network,"¥1,125.35万",¥0.8326,¥32112.88,"1,351.64万",+21.64%
DOT-Dotcoin,"¥1,124.85万",¥0.036051,¥12219.12,3.12亿,+3.31%
HMQ-Humaniq,"¥1,107.18万",¥0.059755,¥34.37万,1.85亿,+10.56%
HKN-Hacken,"¥1,098.31万",¥2.0493,¥87975.02,535.95万,+2.90%
BOT-菩提,"¥1,096.41万",¥0.2741,¥457.92万,"4,000万",+3.25%
TOPC-拓扑链,"¥1,084.02万",¥0.036134,¥290.79万,3亿*,+4.19%
PAYX-Paypex,"¥1,068.46万",¥0.1561,¥10.23万,"6,842.88万",+3.86%
CV-carVertical,"¥1,060.24万",¥0.001871,¥20076.27,56.67亿,+4.13%
CEX-CEXCOIN,"¥1,050.86万",¥0.3503,--,"3,000万*",-2.26%
UCT-优物链,"¥1,046.44万",¥0.033220,¥47.85万,3.15亿*,+2.59%
XTL-Stellite,"¥1,039.71万",¥0.001433,¥93.6141,72.57亿,+3.76%
CHAT-ChatCoin,"¥1,025.09万",¥0.018638,¥505.26万,5.5亿*,+0.88%
SNC-SunContract,"¥1,021.9万",¥0.083279,¥141.66万,1.23亿,+5.75%
GAM-Gambit,"¥1,010.84万",¥8.7591,¥757.56,115.41万,+4.98%
PURA-Pura,"¥1,009.32万",¥0.057637,¥4173.37,1.75亿,-3.20%
BANCA-Banca,"¥1,006.31万",¥0.000561,¥21.79万,179.26亿,+7.59%
CAPP-Cappasity,¥996.3万,¥0.019821,¥51.14万,5.03亿,+7.49%
SWT-Swarm City,¥989.08万,¥1.1855,¥10.64万,834.28万,+11.08%
FLIXX-Flixxo,¥986.61万,¥0.1232,¥5776.39,"8,008.3万",+11.59%
SXUT-SXUT,¥979.74万,¥0.3994,¥20.72万,"2,452.96万",-7.34%
AMLT-AMLT Token,¥972.01万,¥0.1098,¥2418.85,"8,856.49万",+20.64%
DTB-Databits,¥969.61万,¥0.4262,¥15011.14,"2,274.78万",+1.96%
TFL-True Flip,¥966.34万,¥1.5468,¥28.61万,624.73万,+4.73%
BSD-BitSend,¥964.38万,¥0.4480,¥9654.51,"2,152.83万",+6.85%
OCT-欧链,¥951.39万,¥0.3171,¥14.87万,"3,000万",+5.72%
SLR-SolarCoin,¥946.41万,¥0.1932,¥29140.84,"4,898.32万*",+5.98%
EXRN-EXRNchain,¥939.79万,¥0.000102,¥43.78万,925亿,-0.40%
NBAI-智云链,¥935.04万,¥0.008042,¥52934.87,11.63亿,+1.57%
XLR-Solaris,¥934.32万,¥5.7194,¥8180.77,163.36万*,+7.41%
ERO-Eroscoin,¥928.23万,¥0.049706,¥3675.69,1.87亿,-2.95%
CMCT-Crowd Machine,¥914.04万,¥0.019441,¥22126.79,4.7亿,-5.27%
EXP-Expanse,¥909.41万,¥0.8665,¥19.87万,"1,049.53万",+1.22%
MUSIC-乐币,¥906.88万,¥0.007302,¥15.33万,12.42亿,+5.36%
LMC-邻萌宝,¥903.18万,¥0.035767,¥35.7672,2.53亿*,-6.34%
NTK-Neurotoken,¥898.4万,¥0.1139,¥31.38万,"7,890.66万",+3.13%
SPHR-Sphere,¥880.78万,¥2.8569,¥48706.21,308.29万*,+15.05%
ZSC-Zeusshield,¥877.91万,¥0.007613,¥11.51万,11.53亿,+3.21%
MYST-密链,¥876.3万,¥0.3727,¥707.94,"2,350.93万",+39.12%
COVAL-Circuits of V...,¥866.5万,¥0.008665,¥72673.06,10亿,+1.95%
ORME-Ormeus Coin,¥866.29万,¥0.5087,¥235.55万,"1,702.93万",+6.95%
GUP-Matchpool,¥861.81万,¥0.1149,¥12.94万,"7,500万",+10.09%
IDH-indaHash,¥846.15万,¥0.021157,¥89.46万,4亿,-2.77%
TIME-Chronobank,¥845.07万,¥11.9005,¥38.5万,71.01万,+2.54%
GBX-GoByte,¥825.38万,¥2.6009,¥22.17万,317.35万,+1.52%
CFC-咖啡金链,¥820.68万,¥0.2345,¥760.66万,"3,500万*",+4.18%
HPC-快乐币,¥802.59万,¥0.4614,¥299.79,"1,739.54万",-5.45%
SEQ-Sequence,¥800.67万,¥0.1733,¥287.13,"4,619.98万",+5.56%
NVC-新星币,¥794.62万,¥3.5047,¥8653.47,226.73万,+7.33%
SHIP-ShipChain,¥790.11万,¥0.035518,¥1136.41,2.22亿,-0.47%
DNA-EncrypGen,¥784.84万,¥0.1171,¥13.35万,"6,703万",+10.90%
PTOY-Patientory,¥783.62万,¥0.1119,¥13692.23,"7,000万",+6.93%
BBN-榕树网络,¥779.97万,¥0.016527,¥21.76万,4.72亿,+6.44%
1337-Elite,¥779.51万,¥0.000296,¥3078.48,263.22亿*,-1.55%
OMNI-Omni,¥773.02万,¥13.7615,¥6423.07,56.17万*,+8.12%
XHI-嗨币,¥770.51万,¥0.001737,¥9522.94,44.35亿,+22.31%
ALIS-ALIS,¥769.75万,¥0.1977,¥4986.09,"3,892.69万",+12.44%
BQT-BQT,¥759.23万,¥0.029428,¥17.18万,2.58亿*,+22.95%
DEV-DeviantCoin,¥754.23万,¥0.5567,¥13096.20,"1,354.78万",+5.65%
DRT-DomRaider,¥738.1万,¥0.012478,¥21.48万,5.92亿,-17.23%
LATX-LatiumX,¥736.39万,¥0.070531,¥98.84万,1.04亿,+5.27%
DBIX-迪拜币,¥735.59万,¥3.2943,¥28709.53,223.29万,+1.52%
SIB-西伯利亚金币,¥727.68万,¥0.4223,¥14953.42,"1,723.08万",+4.80%
DYN-Dynamic,¥724.36万,¥2.3420,¥58302.79,309.29万,+9.02%
QWARK-Qwark,¥717.67万,¥0.1076,¥7187.97,"6,667.29万",+6.81%
MITX-Morpheus Labs,¥714.52万,¥0.034757,¥46288.53,2.06亿,-1.13%
GEO-GeoCoin,¥714.08万,¥2.2451,¥1094.82,318.06万,+4.14%
EXY-Experty,¥713.96万,¥0.2636,¥98813.90,"2,708.84万",-3.30%
CURE-Curecoin,¥712.11万,¥0.2977,¥6438.09,"2,392.36万",+5.76%
OK-OKCash,¥710.71万,¥0.095661,¥27578.79,"7,429.44万*",-1.95%
AVT-Aventus,¥699.29万,¥1.1655,¥62521.90,600万,-0.92%
XNK-Ink Protocol,¥697.33万,¥0.035954,¥25.32万,1.94亿,+2.33%
GOLOS-Golos,¥692.36万,¥0.055602,¥2578.86,1.25亿,+2.72%
ICOS-ICOS,¥688.33万,¥13.9103,¥22.0977,49.48万,-11.50%
ZAP-ZAP,¥686.66万,¥0.053339,¥15274.48,1.29亿,+8.44%
VRS-Veros,¥686.05万,¥0.1287,¥64205.48,"5,330.26万",+17.51%
UGC-UgChain,¥683.44万,¥0.013669,¥67.86万,5亿,-0.72%
OPT-Opus,¥680.29万,¥0.048564,¥11328.53,1.4亿,+4.50%
AID-AidCoin,¥667.7万,¥0.1522,¥89646.62,"4,387.25万",-2.07%
INF-InfChain,¥664.72万,¥0.006997,"¥1,000.47万",9.5亿,+1.45%
NIO-Autonio,¥660.05万,¥0.079362,¥84.47万,"8,317.01万",-0.13%
GLD-金币,¥658.16万,¥0.1587,¥1517.96,"4,147.28万",+9.84%
CPAY-Cryptopay,¥656.86万,¥0.096131,¥6279.74,"6,832.94万",+4.13%
WSX-WeAreSatoshi,¥655.67万,¥0.2673,¥15049.14,"2,453.26万",+4.38%
APX-APX,¥652.37万,¥9.2775,¥4211.57,70.32万,-9.03%
EXCL-ExclusiveCoin,¥649.99万,¥1.2236,¥24349.99,531.2万,+1.20%
KORE-KoreCoin,¥646.03万,¥3.0445,¥32059.38,212.2万*,+8.03%
DEB-Debitum Network,¥632.46万,¥0.031871,¥93492.84,1.98亿,+2.10%
HWC-HollyWoodCoin,¥628.38万,¥0.9184,¥106.47万,684.21万,+13.13%
INSTAR-Insights Network,¥624.62万,¥0.045145,¥49.68万,1.38亿,+4.77%
FDZ-Friendz,¥621.39万,¥0.012174,¥72527.72,5.1亿,-3.59%
VIT-Vice Industry Token,¥620.24万,¥0.020929,¥59557.41,2.96亿,+101.99%
CHP-CoinPoker,¥619.3万,¥0.019635,¥40597.90,3.15亿,+4.05%
IPL-VouchForMe,¥618.48万,¥0.030770,¥53.73万,2.01亿,-1.08%
XSH-神盾,¥614.19万,¥0.011973,¥13612.85,5.13亿,-2.77%
EKO-EchoLink,¥611.76万,¥0.016409,¥361.55万,3.73亿,+0.81%
UFR-Upfiring,¥605.8万,¥0.3116,¥9585.30,"1,944万",+2.18%
TSL-Energo,¥604.63万,¥0.010388,¥17.71万,5.82亿*,+29.85%
ADST-AdShares,¥600.69万,¥0.3100,¥8545.37,"1,937.91万",+4.64%
ABY-ArtByte,¥594.03万,¥0.007495,¥5647.31,7.93亿,+1.50%
FLDC-FoldingCoin,¥589.51万,¥0.008194,¥18373.87,7.19亿,+4.64%
ENRG-能源币,¥584.16万,¥0.047754,¥53376.70,1.22亿,-41.87%
CPY-Copytrack,¥582.99万,¥0.1871,¥459.99,"3,116.74万",+3.72%
PIRL-Pirl,¥576.92万,¥0.1751,¥19995.02,"3,295.74万",-3.39%
MTN-Medicalchain,¥573.73万,¥0.031013,¥176.56万,1.85亿,+7.08%
SYNX-Syndicate,¥567.88万,¥0.1746,¥70224.03,"3,251.8万",+2.88%
UQC-Uquid Coin,¥566.14万,¥0.5661,¥147.47万,"1,000万",+3.21%
UQC-Uquid Coin,¥566.14万,¥0.5661,¥147.47万,"1,000万",+3.39%
NCS-资产股,¥559.75万,¥0.035034,¥47.04万,1.6亿,-1.99%
YBC-元宝币,¥558.41万,¥0.1849,¥237.51万,"3,020.63万*",+19.27%
GAT-Gatcoin,¥553.37万,¥0.010444,¥4971.21,5.3亿,+0.93%
HQX-HOQU,¥548.46万,¥0.036293,¥238.64万,1.51亿,+2.74%
BDG-BitDegree,¥543.3万,¥0.015247,¥199.64,3.56亿,+3.95%
42-42个币,¥539.66万,¥12.85万,¥5776.80,42,+15.13%
1WO-1World,¥536.64万,¥0.2594,¥15.69万,"2,068.66万",+10.72%
REBL-Rebellious,¥526.49万,¥0.031165,--,1.69亿,+15.23%
PKT-Playkey,¥520.61万,¥0.3740,¥91574.23,"1,392.15万",+15.27%
DXT-Datawallet,¥518.53万,¥0.013288,¥13.21万,3.9亿,+7.48%
OXY-Oxycoin,¥503.3万,¥0.005640,¥244.71,8.92亿,+8.74%
PINK-代币,¥499.94万,¥0.012672,¥8471.59,3.95亿,+7.01%
TKS-Tokes,¥498.66万,¥1.4430,¥8697.63,345.57万,+8.75%
ATL-ATLANT,¥492.86万,¥0.1312,¥39.27万,"3,755.19万",-1.55%
BET-DAO.Casino,¥489.46万,¥0.029262,¥55322.51,1.67亿,+25.18%
XBC-Bitcoin Plus,¥487.38万,¥41.4305,¥3762.13,11.76万*,+2.27%
QRK-夸克币,¥485.65万,¥0.018936,¥389.49,2.56亿,+60.94%
STAR-Starbase,¥478.19万,¥0.025503,¥9101.81,1.88亿,+8.99%
2GIVE-2GIVE,¥475.4万,¥0.009129,¥7664.61,5.21亿,+4.85%
STX-拳王币,¥472.69万,¥0.091875,¥10.33万,"5,144.89万",+0.40%
SEND-Social Send,¥470.86万,¥0.1217,¥3201.47,"3,867.78万*",+7.55%
PRA-般若,¥467.19万,¥0.094263,¥55.07万,"4,956.27万",+11.85%
SNOV-Snovio,¥458.54万,¥0.011323,¥12.51万,4.05亿,+1.30%
ADB-Adbank,¥455.7万,¥0.007398,¥17.15万,6.16亿,+1.09%
BTCZ-BitcoinZ,¥451.37万,¥0.001362,¥133.93万,33.13亿,-8.99%
ZEIT-泽塔币,¥449.83万,¥0.000122,¥405.14,369.71亿,+4.69%
SHND-StrongHands,¥447.81万,¥0.00000048,¥56.2447,9.24万亿,+16.96%
TIG-Tigereum,¥446.39万,¥0.2573,¥67.22万,"1,735.06万",+42.53%
INXT-Internxt,¥441.11万,¥7.0060,¥11.63万,62.96万,+22.41%
IOP-Internet of People,¥437.1万,¥0.7731,¥27889.96,565.42万,+1.63%
ZER-Zero,¥435.29万,¥0.9059,¥22646.69,480.48万,+5.30%
EDRC-EDRCoin,¥432.54万,¥1.4887,¥60929.75,290.55万*,+2.47%
RNTB-BitRent,¥431.55万,¥0.005127,¥52441.48,8.42亿,+1.69%
PIX-神灯,¥427.16万,¥0.031566,¥3673.20,1.35亿,+4.78%
IPSX-IP Exchange,¥426.75万,¥0.005038,¥19.87万,8.47亿,+3.48%
EVE-Devery,¥424.91万,¥0.067534,¥123.63万,"6,291.84万",+2.32%
LDOGE-LiteDoge,¥420.72万,¥0.000278,¥835.91,151.44亿*,+8.46%
APH-Aphelion,¥410.24万,¥0.082047,¥61571.46,"5,000万",+9.88%
PLAY-HERO Coin,¥409.02万,¥0.034155,¥24.99万,1.2亿,+2.97%
PRIX-Privatix,¥403.12万,¥3.4085,¥5438.65,118.27万,+0.45%
IETH-iEthereum,¥395.93万,¥0.2202,¥14204.10,"1,798.2万",+48.02%
COFI-CoinFi,¥395.56万,¥0.022417,¥33.35万,1.76亿,+5.24%
BEE-Bee Token,¥395.24万,¥0.021178,¥16219.46,1.87亿,+3.07%
NYC-纽约币,¥394.22万,¥0.00002941,¥2480.52,"1,340.25亿",0%
SXC-Sexcoin,¥387.64万,¥0.030189,¥110.89,1.28亿,-2.37%
ENT-ENT Cash,¥386.62万,¥0.006444,¥45330.06,6亿*,-9.16%
MEME-模因,¥386.2万,¥0.1643,¥29362.31,"2,350.82万",+5.55%
CAN-CanYa,¥381.07万,¥0.091003,¥111.67万,"4,187.45万",+11.03%
NEOS-NeosCoin,¥380.29万,¥0.9163,¥4536.58,415.02万,-3.36%
BELA-BelaCoin,¥368.25万,¥0.094436,¥9382.17,"3,899.45万",+5.42%
MANNA-MANNA,¥367.11万,¥0.007295,¥16.5825,5.03亿*,+6.08%
ZLA-Zilla,¥366.96万,¥0.095398,¥37.93万,"3,846.67万*",+5.97%
J8T-JET8,¥364.85万,¥0.006035,¥12.77万,6.05亿,+5.10%
XNN-Xenon,¥363.97万,¥0.012132,¥3137.24,3亿,+15.85%
TIPS-帽子币,¥361.4万,¥0.00001703,¥31283.48,"2,122.7亿",-4.07%
TX-传送币,¥358.63万,¥0.5281,¥13727.87,679.15万*,+4.31%
IXC-Ixcoin,¥357.66万,¥0.1700,¥3405.43,"2,104.25万*",-1.83%
SKIN-SkinCoin,¥357.15万,¥0.040501,¥34603.02,"8,818.35万",-5.26%
VRM-VeriumReserve,¥356.52万,¥1.8465,¥3691.19,193.08万,+2.96%
POLL-ClearPoll,¥353.73万,¥0.5053,¥13463.01,700万,+5.64%
EVC-EventChain,¥351.85万,¥0.1126,¥12984.50,"3,125.05万",-2.16%
ELIX-Elixir,¥346.89万,¥0.1023,¥19124.71,"3,392.09万",-2.07%
ARY-Block Array,¥343.74万,¥0.050232,¥81498.17,"6,843.07万",+7.29%
IFT-InvestFeed,¥343.32万,¥0.017939,¥101.06,1.91亿,+6.93%
BERRY-Rentberry,¥341.09万,¥0.011316,¥7717.14,3.01亿,+7.54%
EFL-e-Gulden,¥341.08万,¥0.2007,¥1003.46,"1,699.75万",+12.23%
BRX-Breakout Stake,¥339.57万,¥0.5417,¥3839.23,626.81万*,+6.64%
YT-YOEXS TOKEN,¥336.04万,¥0.067209,¥219.62万,"5,000万*",-0.28%
VOISE-Voise,¥335.69万,¥0.006436,¥26465.78,5.22亿,+49.85%
BNTY-Bounty0x,¥333.04万,¥0.017877,¥17692.23,1.86亿,+5.83%
MTX-Matryx,¥330万,¥0.1421,¥113.09万,"2,322.43万",+2.98%
PUT-Profile Utility Token,¥329.93万,¥0.072849,¥79.98万,"4,528.98万",+2.12%
IDXM-IDEX Membership,¥325.17万,¥1625.86,¥2398.92,2000,-3.36%
DTH-Dether,¥321.69万,¥0.038480,¥605.40,"8,360万",0%
MAX-最大币,¥320.77万,¥0.052204,¥266.60,"6,144.58万",+4.70%
LALA-LALA World,¥318.92万,¥0.016569,¥20.51万,1.92亿,+3.81%
CBX-Bullion,¥313.41万,¥3.1013,¥608.10,101.06万,+1.55%
TRC-大地币,¥313.37万,¥0.1366,¥2242.72,"2,293.54万",+5.89%
VASH-代理币,¥312.26万,¥0.007800,¥840.99万,4亿*,+2.64%
I0C-I0Coin,¥312.25万,¥0.1487,¥164.92,"2,099.52万",-4.77%
WISH-MyWish,¥311.66万,¥0.1582,¥6347.15,"1,970.4万",+4.46%
NTRN-Neutron,¥309.61万,¥0.079140,¥2505.92,"3,912.17万*",+23.98%
SENC-Sentinel Chain,¥308.96万,¥0.015662,¥104.27,1.97亿,-0.80%
ARG-银特币,¥306.89万,¥0.2862,¥3681.57,"1,072.25万",-5.21%
BETR-BetterBetting,¥304.57万,¥0.017842,¥12.17万,1.71亿,+3.15%
DABT-大数据智能币,¥302.47万,¥0.5041,¥50.98万,600万*,-16.17%
BUZZ-BuzzCoin,¥301.96万,¥0.000151,¥23.8010,199.86亿,-10.77%
ADH-AdHIve,¥297.08万,¥0.024507,¥26.39万,1.21亿,+1.08%
HBZ-Helbiz,¥296.15万,¥0.004309,¥44.75万,6.87亿,+3.07%
WRC-Worldcore,¥295.83万,¥0.016610,¥648.49,1.78亿,+14.29%
TRF-Travelflex,¥295万,¥0.037387,--,"7,890.53万",-0.61%
BRK-Breakout,¥292.68万,¥0.1545,¥4885.32,"1,894.93万",+11.02%
LOCI-Loci,¥284.23万,¥0.077832,¥32918.82,"3,651.81万*",+2.48%
GETX-保链,¥282.37万,¥0.009412,¥31961.31,3亿,+5.34%
MNTP-MNTP,¥276.2万,¥1.4423,¥45275.59,191.5万*,+9.94%
ZENI-Zennies,¥272.39万,¥0.002722,¥567.36,10.01亿*,+27.98%
DCY-Dinastycoin,¥269.71万,¥0.001495,¥257.78,18.04亿,+7.95%
TZC-TrezarCoin,¥263.22万,¥0.019593,¥973.70,1.34亿,+6.87%
HYP-HyperStake,¥260万,¥0.001889,¥2044.64,13.77亿*,+4.12%
NXC-Nexium,¥257.59万,¥0.038729,¥3681.64,"6,650.96万",+3.75%
SMLY-SmileyCoin,¥257.46万,¥0.00009918,¥1406.53,259.6亿,-2.42%
PTC-极宝币,¥254.91万,¥0.018617,¥1766,1.37亿,+13.86%
CANN-CannabisCoin,¥245.98万,¥0.031850,¥7782.13,"7,723.12万",+6.02%
IND-Indorse Token,¥245.83万,¥0.066185,¥11.47万,"3,714.29万",+2.15%
EBST-eBoost,¥245.5万,¥0.1227,¥5228.46,"2,000万*",+3.02%
ADC-AudioCoin,¥244.27万,¥0.002597,¥2408.13,9.41亿,+8.19%
DOPE-麻叶币,¥243.17万,¥0.020811,¥10160.77,1.17亿*,-10.72%
TES-特斯拉币,¥241.97万,¥0.031165,¥8672.23,"7,764.1万",+4.31%
PARETO-Pareto Network,¥241.84万,¥0.007343,¥6250.88,3.29亿,+5.09%
UNIT-Universal Currency,¥240.43万,¥0.1524,¥41647.38,"1,578.05万",+0.99%
SIG-Signal Token,¥240.33万,¥0.008513,¥11.0686,2.82亿,-3.53%
BUN-BunnyCoin,¥238.18万,¥0.00002312,¥71.9060,"1,030.37亿",-0.46%
FCN-Fantomcoin,¥237.5万,¥0.2919,¥0.5841,813.56万,+4.82%
